script,text,caught,detected
sinhala,මගේ ඇණවුම කොළඹට ගොස් නැද්ද,True,sinhala
sinhala,ඇණවුම තහවුරු කර දෙන්න,True,sinhala
sinhala,බෙදාහැරීමේ දිනය කවදාද,True,sinhala
sinhala,මිල කීයද කියා දෙන්න,True,sinhala
sinhala,ගිණුමේ ශේෂය කීයද,True,sinhala
sinhala,ගෙවීම සම්පූර්ණ වුණාද,True,sinhala
sinhala,අයිතම ලැයිස්තුව බලන්න,True,sinhala
sinhala,තොගය නොමැති අයිතමයක් තිබේද,True,sinhala
sinhala,මහනුවරට බාරදීම කවදාද,True,sinhala
sinhala,නුගෙගොඩට බාරදීම හැකිද,True,sinhala
sinhala,කොළඹ ශාඛාවට ඇණවුමක් සක්‍රීයද,True,sinhala
sinhala,මිලගණන් ස්ථාවරද,True,sinhala
sinhala,ගිණුම වෙනස් කළාට ගැටළු තියේද,True,sinhala
sinhala,ඇණවුම සඳහා අමතර තොරතුරු දෙන්න,True,sinhala
sinhala,කේතය ලැබීමට කාලය සඳහන් කරන්න,True,sinhala
sinhala,බෙදාහැරීමේ තොරතුරු දෙන්න,True,sinhala
sinhala,භාණ්ඩයේ තත්වය කෙටි විස්තරයක් දෙන්න,True,sinhala
sinhala,අඩුපලක් තිබේ නම් යාවත්කාලනය කරන්න,True,sinhala
sinhala,ගිණුමට ප්‍රවේශය අහිමි වූවද,True,sinhala
sinhala,පැමිණිල්ලක් තියෙනවාද කියා දෙන්න,True,sinhala
sinhala,පැමිණිල්ල සඳහා අංකය දෙන්න,True,sinhala
sinhala,බෙදාහැරීමේ වාරය කොහොමද,True,sinhala
sinhala,කොළඹ සිට මහනුවරට යන මාර්ගය සනාථ කරන්න,True,sinhala
sinhala,භාණ්ඩයේ නැවත සමාලෝචනය කරන්න,True,sinhala
sinhala,මිල සංශෝධනයක් ඇත්නම් පැහැදිලි කරන්න,True,sinhala
sinhala,මහනුවරට බෙදාහැරීම් තොරතුරු සපයන්න,True,sinhala
sinhala,නුගෙගොඩ අවට තොගය තහවුරු කරන්න,True,sinhala
sinhala,ගිණුමේ අංකය වෙනස් කිරීමට හැකිද,True,sinhala
sinhala,අලුත් ඇණවුමකට තොරතුරු ඔබේ පැකැට්ටුවට යොමු කරන්න,True,sinhala
sinhala,පෙර ඇණවුම සම්බන්ධ වාර්තාව බලන්න,True,sinhala
sinhala,බෙදාහැරීම් තොරතුරු වාර්තාවක් දෙන්න,True,sinhala
sinhala,වාරික ගෙවීම් පිළිබඳ පැහැදිලි කරන්න,True,sinhala
sinhala,ගබඩාවේ අයිතම නොමැති බව පැමිණිල්ලක් කරන්න,True,sinhala
sinhala,කොළඹ මිලගණන් තහවුරු කරන්න,True,sinhala
sinhala,මහනුවරේ බෙදාහැරීම් තොරතුරු ලබා දෙන්න,True,sinhala
sinhala,නගරයන්හි සේවා ප්‍රවෘත්තීන් පිළිබඳ යාවත්කාලීන කරන්න,True,sinhala
sinhala,ගිණුම ආරක්ෂා කිරීම සඳහා මගපෑම් දෙන්න,True,sinhala
sinhala,අළුත් ගිණුමක් සාදන්නට හැකිද,True,sinhala
sinhala,ගිණුමේ පිවිසුම සුරකින්න,True,sinhala
sinhala,සේවා පසුබැසි ප්‍රතිචාර ලබා දෙන්න,True,sinhala
sinhala,අමතර සේවාවන් පිළිබද පැහැදිලි කරන්න,True,sinhala
sinhala,දුරකථන අංකය වෙනස් කරනවාද කියා දෙන්න,True,sinhala
sinhala,අනුග්‍රාහකත්වය හා මිල ගණන් සැලසුම් දෙන්න,True,sinhala
sinhala,වාර්තා කළ ගැටළු සවිස්තර කරන්න,True,sinhala
sinhala,ඉදිරි ඇණවුම් සඳහා උපදස් දෙන්න,True,sinhala
sinhala,තොග ප්‍රමාණය සහිත ලැයිස්තුව දෙන්න,True,sinhala
sinhala,කොළඹ මහනුවර නගර දෙකේ සේවා වෙනස්ද,True,sinhala
sinhala,ගෙවීම් රුපියල් මගින් කළහැකිද,True,sinhala
sinhala,පිළිතුරු සැපයුමේ වේගය කියා දෙන්න,True,sinhala
sinhala,අයදුම් කරන ලද දත්ත පිරික්සන්න,True,sinhala
sinhala,මගේ ඇණවුම කොහේද කියා දන්වන්න,True,sinhala
sinhala,කොළඹ ශාඛාවේ අලුත් ඇණවුම තහවුරු කරන්න,True,sinhala
sinhala,නුගෙගොඩ ප්‍රදේශයට බෙදාහැරීම අදද කියා පවසන්න,True,sinhala
sinhala,ගිණුම සම්බන්ධ ප්‍රශ්නයක් ඇති බව දන්වමි සහය සැලසෙන්න,True,sinhala
sinhala,මිල පිළිබද පැහැදිලි කිරීමක් අවශ්‍යය,True,sinhala
sinhala,ගෙවීම් පිළිබන්ධ තොරතුරු නිවැරදිද කියා පෙන්වන්න,True,sinhala
sinhala,අයදුම්පත් ලියාපදිංචි කිරීමට උපදෙස් දෙන්න,True,sinhala
sinhala,ඇණවුම වෙනස් කිරීමට හැකිද කියා කියන්න,True,sinhala
sinhala,බෙදාහැරීම මහනුවරට සාර්ථකද කියා දෙන්න,True,sinhala
sinhala,බෙදාහැරීම් වේලාවන් පිළිබඳ තොරතුරු දෙන්න,True,sinhala
sinhala,ගබඩා භාන්ඩ ස්ථානය කොළඹ නැතිනම් මහනුවරද කියන්න,True,sinhala
sinhala,වාරික් ඇණවුම් සඳහා ප්‍රමාදයක් ඇතිද කියලා දන්වන්න,True,sinhala
sinhala,මිල හා වට්ටම් පිළිබන්ධ තොරතුරු පැහැදිලි කරන්න,True,sinhala
sinhala,ගිණුමට ලියාපදිංචි වීමේ පියවර කියන්න,True,sinhala
sinhala,ගිණුමේ ශේෂය බලන්නේ කෙසේද පැහැදිලි කරන්න,True,sinhala
sinhala,අඛණවුම තහවුරු කිරීමේ ක්‍රියාවලිය පැහැදිලි කරන්න,True,sinhala
sinhala,ආපසු භාරදීමේ ප්‍රතිපත්තිය පැහැදිලි කරන්න,True,sinhala
sinhala,ආපසු භාරදීමේ ලැබෙන කටයුතු පැහැදිලි කරන්න,True,sinhala
sinhala,භාණ්ඩ ගුණාත්මක බව සහතික කරන්න,True,sinhala
sinhala,වේගවත් බෙදාහැරීම් සඳහා අපි කටයුතු කරනවා,True,sinhala
